Boro,ntaname,ntacode,Branch,Total Libraries,Average Adult Attendance,Average Young Adult Attendance,Average Juvenile Attendance,Average Adult Circulation,Average Young Adult Circulation,Average Juvenile Circulation,Average Total Circulation
Manhattan,Battery Park City - Lower Manhattan,MN25,Battery Park City,1,511,1397,7787,162657,28170,108737,299564
Manhattan,Central Harlem North-Polo Grounds,MN03,Countee Cullen/Macomb's Bridge,2,1178,997,2887,68461,14144,35890,118486
Manhattan,Central Harlem South,MN11,115th Street/Harlem,2,1582,651,5181,68366,13747,50727,132839
Manhattan,Chinatown,MN27,Chatham Square,1,1176,478,8717,280124,82349,209667,572140
Manhattan,Clinton,MN15,Columbus ,1,724,471,2355,145599,21736,52125,219460
Manhattan,East Harlem North,MN34,125th Street,1,1008,345,1311,45516,14352,20366,80234
Manhattan,East Harlem South,MN33,Aguilar,1,524,450,8143,92228,26945,89477,208650
Manhattan,East Village,MN22,Ottendorfer/Tompkins Square,2,1316,458,10121,158429,17903,43949,220280
Manhattan,Gramercy,MN21,Epiphany,1,1198,44,6532,230928,27269,67330,325527
Manhattan,Hamilton Heights,MN04,Hamilton Grange,1,2779,1138,3037,110572,25338,73395,209305
Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,Muhlenberg,1,1781,1070,7469,232290,29360,70849,332499
Manhattan,Lennox Hill-Roosevelt Island,MN31,Roosevelt IslandWebster/Yorkville/67th Street,4,970,880,6821,142511,15056,80066,237633
Manhattan,Lincoln Square,MN14,Riverside,1,1873,1096,6555,250528,31002,121739,403269
Manhattan,Lower East Side,MN28,Hamilton Fish Park/Seward Park,2,959,1577,10337,155177,53863,130090,339129
Manhattan,Marble-Hill Inwood,MN01,Inwood,1,935,2691,7015,165179,27844,114618,307641
Manhattan,Morningside Heights,MN09,George Bruce/Morningside Heights,2,901,2214,4615,176991,24680,79334,281004
Manhattan,Murray Hill-Kips Bay,MN20,Kips Bay,1,2098,530,8633,135807,13994,57821,207622
Manhattan,SoHo-Tribeca-Civic Center-Little Italy,MN24,Mulberry Street/NewAmsterdam,2,407,1706,4030,262367,39267,90248,39882
Manhattan,Turtle Bay-East Midtown,MN19,58th Street/Grand Canal,2,3340,1307,174,295897,39287,38681,373865
Manhattan,Upper East Side,MN40,96th Street,1,2466,1710,8470,228111,39402,105718,373231
Manhattan,Upper West Side,MN12,Bloomingdale/St. Agnes,2,2104,954,9438,243926,30797,155195,429917
Manhattan,Washington Heights South,MN36,Fort Washington/Washington Heights,2,694,772,4495,85851,19064,55643,160557
Manhattan,West Village,MN23,Hudson Park/Jefferson Market,2,1928,899,7345,184584,17664,55958,258206
